book_folder_id,title,year,translations_count,A_kontrowersyjnosc,B_glebia,C_fenomen,D_rezonans,E_polski_kontekst,F_aktualnosc,G_innowacyjnosc,H_zlozonosc,I_gender,B_jung_3plus,B_symbolika_relig_mit,B_warstwy_3plus,B_metafory_egzyst,last3_formats,format_history,SUMA_points,duration_min,chosen_format,alt_format,chosen_reason,eligible_01,eligible_02,eligible_03,eligible_04,eligible_05,eligible_06,eligible_07,eligible_08,eligible_09,eligible_10,eligible_11,eligible_12,weighted_01,weighted_02,weighted_03,weighted_04,weighted_05,weighted_06,weighted_07,weighted_08,weighted_09,weighted_10,weighted_11,weighted_12
0001_alice_in_wonderland,Alice's Adventures in Wonderland,1865,174,4,5,5,4,4,4,5,5,3,1,1,1,1,"[""Wyk\u0142ad filologiczny""]","[""Wyk\u0142ad filologiczny""]",39,14,Wykład filologiczny,Przyjacielska wymiana,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]; Blocked=['Wykład filologiczny']; History_len=1",1,1,1,1,1,1,1,1,0,1,1,1,19.8,18.8,16.7,11.8,11.2,14.5,12.4,12.7,10.3,20.5,10.3,17.4
0012_harry_potter,Harry Potter and the Philosopher's Stone,1997,85,5,5,5,5,5,5,5,5,5,1,1,1,1,"[""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w""]",45,14,Glosa do przekładów,Przyjacielska wymiana,"Eligible=[1, 2, 3, 4, 6, 7, 8, 9, 10, 11]; Blocked=['Lokalny i Globalny', 'Perspektywa Ona/On', 'Glosa do przekładów']; History_len=12",1,1,1,1,0,1,1,1,1,1,1,0,22.0,20.0,19.5,13.0,14.0,14.5,14.0,14.0,13.5,20.5,11.5,18.5
0013_hobbit,The Hobbit,1937,60,5,5,5,5,4,5,5,5,4,1,1,1,1,"[""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana""]",43,14,Przyjacielska wymiana,Wykład filologiczny,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]; Blocked=['Perspektywa Ona/On', 'Glosa do przekładów', 'Przyjacielska wymiana']; History_len=13",1,1,1,1,1,1,1,1,1,1,1,1,22.0,18.8,19.5,13.0,14.0,14.5,12.4,14.0,11.9,20.5,10.3,17.4
0014_jane_eyre,Jane Eyre,1847,174,4,5,5,4,4,5,5,5,5,1,1,1,1,"[""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny""]",42,14,Wykład filologiczny,Mistrz i Uczeń,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]; Blocked=['Glosa do przekładów', 'Przyjacielska wymiana', 'Wykład filologiczny']; History_len=14",1,1,1,1,1,1,1,1,1,1,1,1,19.8,18.8,17.9,11.8,12.7,14.5,12.4,12.7,13.5,20.5,10.3,17.4
0015_lady_of_the_camellias,The Lady of the Camellias,1848,174,5,5,5,4,4,5,5,4,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk""]",42,14,Adwokat i Sceptyk,Mistrz i Uczeń,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]; Blocked=['Przyjacielska wymiana', 'Wykład filologiczny', 'Adwokat i Sceptyk']; History_len=15",1,1,1,1,1,1,1,1,1,1,1,1,20.8,18.8,19.5,11.6,12.7,14.5,12.4,12.7,12.4,19.3,10.3,16.0
0016_lalka,The Doll,1890,28,4,5,5,4,5,5,5,5,5,1,1,1,1,"[""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144""]",43,14,Mistrz i Uczeń,Komentarz historyczno-literacki,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]; Blocked=['Wykład filologiczny', 'Adwokat i Sceptyk', 'Mistrz i Uczeń']; History_len=16",1,1,1,1,1,1,1,1,1,1,1,1,19.8,20.0,17.9,11.8,12.7,14.5,14.0,12.7,13.5,20.5,11.5,18.5
0017_little_prince,The Little Prince,1943,600,4,5,5,4,5,5,5,4,3,1,1,1,1,"[""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana""]",40,14,Przyjacielska wymiana,Komentarz historyczno-literacki,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12]; Blocked=['Adwokat i Sceptyk', 'Mistrz i Uczeń', 'Przyjacielska wymiana']; History_len=17",1,1,1,1,1,1,1,1,0,1,1,1,19.8,20.0,17.9,10.4,12.7,14.5,14.0,12.7,9.2,19.3,11.5,17.1
0018_lord_of_the_rings,The Lord of the Rings,1954,60,5,5,5,5,4,5,5,5,5,1,1,1,1,"[""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny""]",44,14,Wykład filologiczny,Emocja i Analiza,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; Blocked=['Mistrz i Uczeń', 'Przyjacielska wymiana', 'Wykład filologiczny']; History_len=18",1,1,1,1,1,1,1,1,1,1,1,0,22.0,18.8,19.5,13.0,14.0,14.5,12.4,14.0,13.5,20.5,10.3,17.4
0019_master_and_margarita,The Master and Margarita,1967,40,5,5,5,3,5,5,5,5,4,1,1,1,1,"[""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk""]",42,14,Adwokat i Sceptyk,Emocja i Analiza,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]; Blocked=['Przyjacielska wymiana', 'Wykład filologiczny', 'Adwokat i Sceptyk']; History_len=19",1,1,1,1,1,1,1,1,1,1,1,0,19.6,20.0,19.5,13.0,11.4,14.5,14.0,11.4,11.9,20.5,11.5,18.5
0011_gullivers_travels,Gulliver's Travels,1726,174,5,5,5,4,5,5,5,5,5,1,1,1,1,"[""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144""]",44,14,Mistrz i Uczeń,Komentarz historyczno-literacki,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]; Blocked=['Wykład filologiczny', 'Adwokat i Sceptyk', 'Mistrz i Uczeń']; History_len=20",1,1,1,1,1,1,1,1,1,1,1,1,20.8,20.0,19.5,13.0,12.7,14.5,14.0,12.7,13.5,20.5,11.5,18.5
0014_jane_eyre,Jane Eyre,1847,174,4,5,5,4,4,5,5,5,5,1,1,1,1,"[""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana""]",42,14,Przyjacielska wymiana,Komentarz historyczno-literacki,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]; Blocked=['Adwokat i Sceptyk', 'Mistrz i Uczeń', 'Przyjacielska wymiana']; History_len=21",1,1,1,1,1,1,1,1,1,1,1,1,19.8,18.8,17.9,11.8,12.7,14.5,12.4,12.7,13.5,20.5,10.3,17.4
0015_lady_of_the_camellias,The Lady of the Camellias,1848,174,5,5,5,4,4,5,5,4,5,1,1,1,1,"[""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny""]",42,14,Wykład filologiczny,Komentarz historyczno-literacki,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]; Blocked=['Mistrz i Uczeń', 'Przyjacielska wymiana', 'Wykład filologiczny']; History_len=22",1,1,1,1,1,1,1,1,1,1,1,1,20.8,18.8,19.5,11.6,12.7,14.5,12.4,12.7,12.4,19.3,10.3,16.0
0020_narnia,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1950,47,4,5,5,4,4,4,5,5,3,1,1,1,1,"[""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk""]",39,14,Adwokat i Sceptyk,Emocja i Analiza,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]; Blocked=['Przyjacielska wymiana', 'Wykład filologiczny', 'Adwokat i Sceptyk']; History_len=23",1,1,1,1,1,1,1,1,0,1,1,0,19.8,18.8,16.7,11.8,11.2,14.5,12.4,12.7,10.3,20.5,10.3,17.4
0021_nineteen_eighty_four,Nineteen Eighty-Four,1949,65,5,5,5,5,5,5,5,5,4,1,1,1,1,"[""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144""]",44,14,Mistrz i Uczeń,Komentarz historyczno-literacki,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]; Blocked=['Wykład filologiczny', 'Adwokat i Sceptyk', 'Mistrz i Uczeń']; History_len=24",1,1,1,1,1,1,1,1,1,1,1,1,22.0,20.0,19.5,13.0,14.0,14.5,14.0,14.0,11.9,20.5,11.5,18.5
0022_old_man_and_the_sea,The Old Man and the Sea,1952,174,4,5,5,4,4,5,5,4,3,1,1,1,1,"[""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana""]","[""Wyk\u0142ad filologiczny"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Komentarz historyczno-literacki"", ""Emocja i Analiza"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Fan i Nowicjusz"", ""Reporter i \u015awiadek"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana"", ""Wyk\u0142ad filologiczny"", ""Adwokat i Sceptyk"", ""Mistrz i Ucze\u0144"", ""Przyjacielska wymiana""]",39,14,Przyjacielska wymiana,Emocja i Analiza,"Eligible=[1, 2, 3, 4, 5, 6, 7, 8, 10, 11]; Blocked=['Adwokat i Sceptyk', 'Mistrz i Uczeń', 'Przyjacielska wymiana']; History_len=25",1,1,1,1,1,1,1,1,0,1,1,0,19.8,18.8,17.9,10.4,12.7,14.5,12.4,12.7,9.2,19.3,10.3,16.0
