book_folder_id,title,year,translations_count,A_kontrowersyjnosc,B_glebia,C_fenomen,D_rezonans,E_polski_kontekst,F_aktualnosc,G_innowacyjnosc,H_zlozonosc,I_gender,B_jung_3plus,B_symbolika_relig_mit,B_warstwy_3plus,B_metafory_egzyst,last3_formats,format_history,distribution_stats
0013_hobbit,The Hobbit,1937,60,5,5,5,5,4,5,5,5,4,1,1,1,1,"[""Lokalny i Globalny"", ""Glosa do przekładów"", ""Przyjacielska wymiana""]",[],[]
0014_jane_eyre,Jane Eyre,1847,174,4,5,5,4,4,5,5,5,5,1,1,1,1,"[""Glosa do przekładów"", ""Przyjacielska wymiana"", ""Perspektywa Ona/On""]",[],[]
0015_lady_of_the_camellias,The Lady of the Camellias,1848,174,5,5,5,4,4,5,5,4,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Perspektywa Ona/On"", ""Wykład filologiczny w duecie""]",[],[]
0016_lalka,The Doll,1890,28,4,5,5,4,5,5,5,5,5,1,1,1,1,"[""Perspektywa Ona/On"", ""Wykład filologiczny w duecie"", ""Adwokat i Sceptyk""]",[],[]
0017_little_prince,The Little Prince,1943,600,4,5,5,4,5,5,5,4,3,1,1,1,1,"[""Wykład filologiczny w duecie"", ""Adwokat i Sceptyk"", ""Reporter i Świadek""]",[],[]
0018_lord_of_the_rings,The Lord of the Rings,1954,60,5,5,5,5,4,5,5,5,5,1,1,1,1,"[""Adwokat i Sceptyk"", ""Reporter i Świadek"", ""Współczesny i Klasyk""]",[],[]
0019_master_and_margarita,The Master and Margarita,1967,40,5,5,5,3,5,5,5,5,4,1,1,1,1,"[""Reporter i Świadek"", ""Współczesny i Klasyk"", ""Emocja i Analiza""]",[],[]
0011_gullivers_travels,Gulliver's Travels,1726,174,5,5,5,4,5,5,5,5,5,1,1,1,1,"[""Współczesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny""]",[],[]
0014_jane_eyre,Jane Eyre,1847,174,4,5,5,4,4,5,5,5,5,1,1,1,1,"[""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On""]",[],[]
0015_lady_of_the_camellias,The Lady of the Camellias,1848,174,5,5,5,4,4,5,5,4,5,1,1,1,1,"[""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wykład filologiczny w duecie""]",[],[]
0020_narnia,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",1950,47,4,5,5,4,4,4,5,5,3,1,1,1,1,"[""Perspektywa Ona/On"", ""Wykład filologiczny w duecie"", ""Fan i Nowicjusz""]",[],[]
0021_nineteen_eighty_four,Nineteen Eighty-Four,1949,65,5,5,5,5,5,5,5,5,4,1,1,1,1,"[""Wykład filologiczny w duecie"", ""Fan i Nowicjusz"", ""Mistrz i Uczeń""]",[],[]
0022_old_man_and_the_sea,The Old Man and the Sea,1952,174,4,5,5,4,4,5,5,4,3,1,1,1,1,"[""Fan i Nowicjusz"", ""Mistrz i Uczeń"", ""Glosa do przekładów""]",[],[]
0023_one_hundred_years_of_solitude,One Hundred Years of Solitude,1967,44,5,5,5,5,4,5,5,5,5,1,1,1,1,"[""Mistrz i Uczeń"", ""Glosa do przekładów"", ""Przyjacielska wymiana""]",[],[]
0024_pan_tadeusz,Pan Tadeusz,1834,33,4,5,5,3,5,4,5,5,4,1,1,1,1,"[""Glosa do przekładów"", ""Przyjacielska wymiana"", ""Komentarz historyczno-literacki""]",[],[]
0025_portrait_of_dorian_gray,The Picture of Dorian Gray,1890,174,5,5,5,5,4,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Komentarz historyczno-literacki"", ""Przyjacielska wymiana""]",[],[]
0026_pride_and_prejudice,Pride and Prejudice,1813,174,4,5,5,5,4,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk""]",[],[]
0027_quo_vadis,Quo Vadis,1896,59,4,5,5,3,5,5,5,5,4,1,1,1,1,"[""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Reporter i Świadek""]",[],[]
0028_red_and_black,The Red and the Black,1830,174,5,5,5,4,4,5,5,5,5,1,1,1,1,"[""Adwokat i Sceptyk"", ""Reporter i Świadek"", ""Współczesny i Klasyk""]",[],[]
0029_robinson_crusoe,Robinson Crusoe,1719,700,4,4,5,3,4,4,5,3,5,1,1,1,0,"[""Reporter i Świadek"", ""Współczesny i Klasyk"", ""Emocja i Analiza""]",[],[]
0030_romeo_and_juliet,Romeo and Juliet,1595,174,5,5,5,5,4,5,5,5,5,1,1,1,1,"[""Współczesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny""]",[],[]
0031_solaris,Solaris,1961,40,5,5,5,4,5,5,5,5,4,1,1,1,1,"[""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On""]",[],[]
0032_sorrows_of_young_werther,The Sorrows of Young Werther,1774,174,5,5,5,4,4,5,5,4,5,1,1,1,1,"[""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wykład filologiczny w duecie""]",[],[]
0033_the_trial,The Trial,1925,174,5,5,5,5,5,5,5,5,4,1,1,1,1,"[""Perspektywa Ona/On"", ""Wykład filologiczny w duecie"", ""Fan i Nowicjusz""]",[],[]
0034_to_kill_a_mockingbird,To Kill a Mockingbird,1960,40,5,5,5,4,4,5,5,5,5,1,1,1,1,"[""Wykład filologiczny w duecie"", ""Fan i Nowicjusz"", ""Mistrz i Uczeń""]",[],[]
0035_tom_sawyer,The Adventures of Tom Sawyer,1876,174,4,5,5,4,4,5,5,4,4,1,1,1,1,"[""Fan i Nowicjusz"", ""Mistrz i Uczeń"", ""Glosa do przekładów""]",[],[]
0036_treasure_island,Treasure Island,1883,174,4,5,5,4,3,4,5,4,3,1,1,1,1,"[""Mistrz i Uczeń"", ""Glosa do przekładów"", ""Przyjacielska wymiana""]",[],[]
0037_wuthering_heights,Wuthering Heights,1847,174,5,5,5,5,4,5,5,5,5,1,1,1,1,"[""Glosa do przekładów"", ""Przyjacielska wymiana"", ""Komentarz historyczno-literacki""]",[],[]
0038_iliad,Iliad,-750,174,5,5,5,5,5,5,5,5,5,1,1,1,1,"[""Glosa do przekładów"", ""Przyjacielska wymiana"", ""Komentarz historyczno-literacki""]",[],[]
0039_odyssey,Odyssey,-750,174,5,5,5,5,5,5,5,5,5,1,1,1,1,[],[],[]
0040_hamlet,Hamlet,1601,174,5,5,5,5,5,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0041_macbeth,Macbeth,1606,174,5,5,5,5,5,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0042_king_lear,King Lear,1606,100,5,5,5,5,5,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0043_crime_and_punishment,Crime and Punishment,1866,174,5,5,5,5,5,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0044_the_brothers_karamazov,The Brothers Karamazov,1880,50,5,5,5,3,4,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0045_war_and_peace,War and Peace,1869,174,5,5,5,4,4,5,5,5,5,1,1,1,1,[],[],[]
0046_madame_bovary,Madame Bovary,1856,174,5,5,5,4,4,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0047_les_miserables,Les Misérables,1862,174,5,5,5,5,5,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0048_the_hunchback_of_notredame,The Hunchback of Notre-Dame,1831,174,5,5,5,5,5,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0049_the_count_of_monte_cristo,The Count of Monte Cristo,1844,174,5,5,5,5,4,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0050_the_three_musketeers,The Three Musketeers,1844,174,5,5,5,4,4,5,5,5,4,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0051_mobydick,Moby-Dick,1851,174,5,5,5,4,4,5,5,5,4,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0052_uncle_toms_cabin,Uncle Tom's Cabin,1852,70,5,5,5,2,3,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0053_the_scarlet_letter,The Scarlet Letter,1850,174,5,5,5,5,3,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0054_the_catcher_in_the_rye,The Catcher in the Rye,1951,30,5,5,5,4,4,5,5,4,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0055_of_mice_and_men,Of Mice and Men,1937,174,5,5,5,5,3,5,5,4,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0056_the_grapes_of_wrath,The Grapes of Wrath,1939,174,5,5,5,5,3,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki""]",[],[]
0057_east_of_eden,East of Eden,1952,174,5,5,5,5,4,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Wykład filologiczny"", ""Przyjacielska wymiana""]",[],[]
0058_for_whom_the_bell_tolls,For Whom the Bell Tolls,1940,174,5,5,5,4,4,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Wyk\u0142ad filologiczny"", ""Przyjacielska wymiana""]",[],[]
0059_a_farewell_to_arms,A Farewell to Arms,1929,174,5,5,5,3,4,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0060_the_sun_also_rises,The Sun Also Rises,1926,174,5,5,5,4,3,5,5,5,5,1,1,1,1,"[""Komentarz historyczno-literacki"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0061_one_flew_over_the_cuckoos_nest,One Flew Over the Cuckoo's Nest,1962,174,5,5,5,4,5,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0062_catch22,Catch-22,1961,174,5,5,5,4,4,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0063_slaughterhousefive,Slaughterhouse-Five,1969,174,5,5,5,5,4,5,5,5,4,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0064_the_metamorphosis,The Metamorphosis,1915,174,5,5,5,5,4,5,5,5,4,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0065_the_castle,The Castle,1926,174,5,5,5,4,5,5,5,5,4,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0066_doctor_zhivago,Doctor Zhivago,1957,174,5,5,5,3,4,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0067_the_gulag_archipelago,The Gulag Archipelago,1973,174,5,5,5,3,4,5,5,5,4,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0068_one_day_in_the_life_of_ivan_denisovich,Jeden dzień Iwana Denisowicza,1962,50,5,4,5,3,5,5,5,3,4,0,1,1,1,[],[],[]
0069_lolita,Lolita,1955,174,5,5,5,4,3,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0070_on_the_road,On the Road,1957,32,5,5,5,4,3,5,5,4,5,1,1,1,1,[],[],[]
0071_beloved,Beloved,1987,174,5,5,5,3,3,5,5,5,5,1,1,1,1,[],[],[]
0072_the_color_purple,The Color Purple,1982,174,5,5,5,5,3,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0073_their_eyes_were_watching_god,Their Eyes Were Watching God,1937,174,5,5,5,4,2,5,5,4,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]","[""Przyjacielska wymiana"", ""Mistrz i Ucze\u0144"", ""Adwokat i Sceptyk"", ""Reporter i \u015awiadek"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Fan i Nowicjusz"", ""Lokalny i Globalny"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Adwokat i Sceptyk"", ""Reporter i \u015awiadek"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Fan i Nowicjusz"", ""Mistrz i Ucze\u0144"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Komentarz historyczno-literacki"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Reporter i \u015awiadek"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Fan i Nowicjusz"", ""Mistrz i Ucze\u0144"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[]
0074_invisible_man,Invisible Man,1952,174,5,5,5,4,2,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0075_native_son,Native Son,1940,174,5,5,5,4,2,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0076_things_fall_apart,Things Fall Apart,1958,57,5,5,5,5,3,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0077_the_god_of_small_things,The God of Small Things,1997,40,5,5,5,5,3,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0078_midnights_children,Midnight's Children,1981,40,5,5,5,3,3,5,5,5,4,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[],[]
0079_the_satanic_verses,The Satanic Verses,1988,40,5,5,5,3,3,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]","[""Przyjacielska wymiana"", ""Mistrz i Ucze\u0144"", ""Adwokat i Sceptyk"", ""Reporter i \u015awiadek"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Fan i Nowicjusz"", ""Lokalny i Globalny"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Adwokat i Sceptyk"", ""Reporter i \u015awiadek"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Fan i Nowicjusz"", ""Mistrz i Ucze\u0144"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Komentarz historyczno-literacki"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Reporter i \u015awiadek"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Fan i Nowicjusz"", ""Mistrz i Ucze\u0144"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[]
0080_a_passage_to_india,A Passage to India,1924,174,5,5,5,3,3,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",,[]
0081_the_jungle_book,The Jungle Book,1894,600,5,5,5,5,5,5,5,5,5,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]","[""Przyjacielska wymiana"", ""Mistrz i Ucze\u0144"", ""Adwokat i Sceptyk"", ""Reporter i \u015awiadek"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Fan i Nowicjusz"", ""Lokalny i Globalny"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Adwokat i Sceptyk"", ""Reporter i \u015awiadek"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Fan i Nowicjusz"", ""Mistrz i Ucze\u0144"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Komentarz historyczno-literacki"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Reporter i \u015awiadek"", ""Wsp\u00f3\u0142czesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wyk\u0142ad filologiczny w duecie"", ""Fan i Nowicjusz"", ""Mistrz i Ucze\u0144"", ""Glosa do przek\u0142ad\u00f3w"", ""Przyjacielska wymiana"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[]
0082_heart_of_darkness,Heart of Darkness,1899,174,5,5,5,3,5,5,5,5,4,1,1,1,1,"[""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]","[""Przyjacielska wymiana"", ""Mistrz i Uczeń"", ""Adwokat i Sceptyk"", ""Reporter i Świadek"", ""Współczesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wykład filologiczny w duecie"", ""Fan i Nowicjusz"", ""Lokalny i Globalny"", ""Glosa do przekładów"", ""Przyjacielska wymiana"", ""Perspektywa Ona/On"", ""Wykład filologiczny w duecie"", ""Adwokat i Sceptyk"", ""Reporter i Świadek"", ""Współczesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wykład filologiczny w duecie"", ""Fan i Nowicjusz"", ""Mistrz i Uczeń"", ""Glosa do przekładów"", ""Przyjacielska wymiana"", ""Komentarz historyczno-literacki"", ""Przyjacielska wymiana"", ""Adwokat i Sceptyk"", ""Reporter i Świadek"", ""Współczesny i Klasyk"", ""Emocja i Analiza"", ""Lokalny i Globalny"", ""Perspektywa Ona/On"", ""Wykład filologiczny w duecie"", ""Fan i Nowicjusz"", ""Mistrz i Uczeń"", ""Glosa do przekładów"", ""Przyjacielska wymiana"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Komentarz historyczno-literacki"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana"", ""Przyjacielska wymiana""]",[]
